Surface melt rate,,,,
G(h)_W/m2,Gb(n)_W/m2,Gd(h)_W/m2,IR(h)_W/m2,RH_%
0,0,0,223,87
0,0,0,222,89
41.36,0,0,222,90
153.86,463.65,47,222.6,90
290.88,597.11,79,224.2,88
422.64,701.75,99,227.8,86
538.79,768.6,113,231.6,81
625.23,827.36,116,234.8,74
674.12,885.68,106,251.6,68
689.18,800,149,241.2,62
664.09,613.62,219,248.6,59
603.14,410.43,265,242.6,56
509.53,783.68,116,244.6,52
389.33,723.94,104,247.2,50
255.52,642.9,84,245.6,47
120.68,499.31,58,248,46
22.39,0,21,243.8,42
0,0,0,238.8,43
0,0,0,232.8,49
0,0,0,231.6,63
0,0,0,230.4,69
0,0,0,230.2,72
0,0,0,228.8,75
0,0,0,229.4,80
0,0,0,227.6,81
0,0,0,227.4,83
49.99,0,0,228.2,83
170.1,478.47,48,227.8,85
310.28,603.47,80,228.6,88
442.77,691,104,231.8,85
560.08,771.09,114,236,77
648.89,814.51,122,239.4,67
694.55,953.82,76,243.2,57
710.55,931.13,91,245.8,51
679.66,891.58,106,247.2,45
613.84,823.42,123,249.4,41
511.98,814.13,106,250.4,37
382.61,699.43,112,250.6,36
242.76,634.58,87,250.4,42
110.13,444.5,65,248.6,42
21.41,0,24,247,43
0,0,0,243.2,45
0,0,0,239.2,55
0,0,0,237,63
0,0,0,234.8,70
0,0,0,234,72
0,0,0,234,70
0,0,0,230.8,69
0,0,0,232.4,70
0,0,0,232,75
35.06,0,2,228.4,74
102.79,383.76,58,229,74
186.15,573.51,87,230.8,74
273.54,680.63,108,234.6,75
343.91,773.66,114,239.2,73
385.98,816.65,122,244.8,83
389.3,955.08,77,249.4,86
403.07,932.69,91,253.2,79
472,909.83,99,256.8,65
429.37,840.32,117,259.8,61
357.68,802.71,111,261.4,61
270.7,701.84,112,262.4,61
176.02,626.56,90,263,63
80.41,521.21,59,262.6,66
16.27,0,21,261,69
0,0,0,258.4,77
0,0,0,255.8,84
0,0,0,254.8,84
0,0,0,256.2,83
0,0,0,257.8,80
0,0,0,259.4,89
0,0,0,260.6,90
0,0,0,275.8,84
0,0,0,280,85
33.76,0,2,282,92
108.09,5.56,50,282.4,93
202.76,116.72,138,276.4,94
298.84,2.33,142,285.4,95
385.62,106.62,258,287.6,92
446.8,192.96,305,298.6,90
490.66,198.45,335,301.6,87
453.62,257.44,338,306.8,66
418.43,223.89,337,303,69
381.26,173.62,316,315.2,66
313.15,44.77,253,301.2,58
234.13,2.18,149,293.2,41
151.21,82.12,151,291.8,68
72.91,74.94,87,291.2,66
18.85,0,25,294.6,59
0,0,0,296.8,78
0,0,0,268,74
0,0,0,263,84
0,0,0,258.6,84
0,0,0,258.8,84
0,0,0,258.8,87
0,0,0,258,88
0,0,0,255.6,89
0,0,0,255.2,90
43.32,0,2,253.4,92
125.04,0,33,253.2,94
220.06,140.4,141,255,94
308.37,363.88,182,257.6,93
383.66,536.03,191,259.8,94
466.6,642.43,190,263.8,96
445.81,781.43,154,268.4,93
491.52,790.8,157,272.2,91
470.84,800.98,149,274.4,84
448.97,751.35,155,275.4,82
369.95,691.68,151,276.4,77
267.7,585.72,146,281.2,71
165.41,472.26,121,280.2,83
76.08,348.91,80,282.4,83
19.29,0,30,278,75
0,0,0,274.2,82
0,0,0,266.4,91
0,0,0,263.6,92
0,0,0,261.2,87
0,0,0,258.8,88
0,0,0,256.4,91
0,0,0,255.2,93
0,0,0,253.6,93
0,0,0,252,91
37.18,0,3,250.4,85
104.47,0,27,249.8,86
196.02,135.1,143,251.4,87
295.28,350.89,186,254.4,88
386.99,548.16,189,259.2,83
457.84,633.22,194,264,79
497.2,767.82,161,268.8,75
490.95,791.98,157,271.2,78
488.05,786.2,156,273.6,64
454.6,753.01,155,275.6,68
392.14,692.17,153,281.2,64
307.5,597.83,144,306.2,54
208.32,472.4,123,307.8,54
107.43,337.67,83,324.6,51
28.74,0,32,292.4,49
0,0,0,300,49
0,0,0,270.8,65
0,0,0,268.6,71
0,0,0,265.4,75
0,0,0,265,76
0,0,0,261.4,80
0,0,0,259.4,88
0,0,0,258.4,90
0,0,0,256.2,88
72.04,0,3,255.2,83
175.04,0,48,255.2,86
281.4,170.24,145,256.6,91
372.04,374.31,184,260.8,86
441.81,569.31,185,264,78
486.16,657.57,187,266.8,71
512.05,814.53,143,271.8,63
500.41,793.23,157,274.6,56
444.34,728.22,181,276.4,48
370.48,604.39,213,297.6,43
314.92,448.96,229,320.8,44
249.88,384.58,196,331.2,78
170.82,348.09,144,321.8,84
86.73,304.83,87,302.8,92
23.57,0,34,291.4,77
0,0,0,281.8,80
0,0,0,312.4,80
0,0,0,302,79
0,0,0,303.6,81
0,0,0,287,79
0,0,0,284.4,81
0,0,0,281.6,86
0,0,0,275,89
0,0,0,278,92
44.92,0,4,292.6,90
128.01,0,53,290.4,88
236.72,106.78,147,283.6,88
364.19,287.95,201,283.6,88
475.5,320.45,250,286.4,87
568.12,467.07,253,293.4,86
632.96,573.85,240,294,81
609.52,660.23,215,298.6,77
568.88,679.6,202,301.4,70
516.83,617.81,209,298.6,53
425.48,635.85,174,295.2,45
311.52,436.2,186,299.8,34
193.15,341.35,147,304.2,33
88.99,373.01,83,289.4,39
23.29,0,35,274.2,43
0,0,0,263.4,41
0,0,0,256.4,44
0,0,0,252,46
0,0,0,249.8,48
0,0,0,247.8,60
0,0,0,245.6,76
