Tsi,Tso
Tsi_C,Tso_C
5.394081946367990E-02,1.004556032018960E+01
5.438417241352450E-02,9.953177911979600E+00
5.482976950729300E-02,9.494901233919340E+00
5.527757917846410E-02,8.730911482010950E+00
5.572756780626940E-02,8.078771761314000E+00
5.617969983619690E-02,7.584538893100210E+00
5.663393791794250E-02,7.159224895346930E+00
5.709024305716960E-02,6.835915595966600E+00
5.754857477697470E-02,6.457986009225880E+00
5.800889128468660E-02,6.055724103607780E+00
5.847114963955880E-02,5.625734277445610E+00
5.893530591707260E-02,5.265648953652340E+00
5.940131536591330E-02,4.987403865617450E+00
5.986913255423000E-02,4.744959630564780E+00
6.033871150248160E-02,4.548017210233330E+00
6.081000580098770E-02,4.567366540119330E+00
6.128296871118260E-02,4.830502451898270E+00
6.175755325047110E-02,5.286951503599940E+00
6.223371226144700E-02,5.969321794755230E+00
6.271139846700820E-02,6.641928040998240E+00
6.319056451354510E-02,7.362007435278360E+00
6.367116300484640E-02,8.376197443004870E+00
6.415314652965230E-02,9.235515689170300E+00
6.463646768585320E-02,9.775786348235340E+00
6.512107910421590E-02,9.816822905026430E+00
6.560693347421090E-02,9.779679255912320E+00
6.609398357405300E-02,9.367438704201760E+00
6.658218230649120E-02,8.751502952789370E+00
6.707148274122660E-02,8.218399763208280E+00
6.756183816415110E-02,7.858356033372710E+00
6.805320213292640E-02,7.524725488570690E+00
6.854552853780920E-02,7.247651257242450E+00
6.903877166610290E-02,6.951949909476900E+00
6.953288626822560E-02,6.669077134660120E+00
7.002782762314000E-02,6.419732168174240E+00
7.052355160080280E-02,6.187296552965770E+00
7.102001471939040E-02,6.015430338944530E+00
7.151717419529310E-02,5.896724153550530E+00
7.201498798426790E-02,5.844620779758610E+00
7.251341481264270E-02,5.885520197865250E+00
7.301241419804810E-02,6.067925415939030E+00
7.351194645977630E-02,6.401418803116930E+00
7.401197271947450E-02,6.819460145612720E+00
7.451245489344780E-02,7.426712555103200E+00
7.501335567830990E-02,8.195617492957570E+00
7.551463853206920E-02,9.186203479062690E+00
7.601626765293780E-02,9.844727316645960E+00
7.651820795819150E-02,1.043786781264580E+01
7.702042506530140E-02,1.063641782118140E+01
7.752288527729910E-02,1.057696078183300E+01
7.802555557395940E-02,1.016964598700820E+01
7.852840360992020E-02,9.622126782916790E+00
7.903139772032410E-02,9.127909920492430E+00
7.953450693402260E-02,8.737893870957130E+00
8.003770099384230E-02,8.347683784595770E+00
8.054095038293150E-02,7.925534183706250E+00
8.104422635579010E-02,7.602287825662090E+00
8.154750097228710E-02,7.409234395827670E+00
8.205074713277830E-02,7.104520460178610E+00
8.255393861239290E-02,6.779011161550590E+00
8.305705009263210E-02,6.476893344468950E+00
8.356005718863570E-02,6.156450780063200E+00
8.406293647080110E-02,5.883347269488050E+00
8.456566547984560E-02,5.833508994953010E+00
8.506822273489050E-02,5.955406196637690E+00
8.557058773464230E-02,6.266621256527480E+00
8.607274095224590E-02,6.721145972128830E+00
8.657466382483200E-02,7.359564761502820E+00
8.707633873915070E-02,8.237404641020710E+00
8.757774901494530E-02,9.064306078456680E+00
8.807887888785080E-02,9.769152011379400E+00
8.857971349360790E-02,1.022604912644380E+01
8.908023885524230E-02,1.049380252041020E+01
8.958044187459710E-02,1.044960966445340E+01
9.008031032924470E-02,1.005489982616700E+01
9.057983287535420E-02,9.473417036914740E+00
9.107899905659560E-02,8.910880800149990E+00
9.157779931865100E-02,8.463120568107350E+00
9.207622502840730E-02,8.035876870365220E+00
9.257426849645890E-02,7.577051825500000E+00
9.307192300117930E-02,7.083483567795010E+00
9.356918281235580E-02,6.704276236708360E+00
9.406604321223480E-02,6.375727379047360E+00
9.456250051181550E-02,6.095741925414830E+00
9.505855206035260E-02,5.792796770820560E+00
9.555419624628650E-02,5.478499379929160E+00
9.604943248819960E-02,5.272305807118010E+00
9.654426121487310E-02,5.396838649833690E+00
9.703868383405330E-02,5.906857286705640E+00
9.753270269012680E-02,6.747801225439950E+00
9.802632101145760E-02,7.790658211405590E+00
9.851954284867600E-02,8.904495493157910E+00
9.901237300564180E-02,1.016003205315730E+01
9.950481696513940E-02,1.134165945570340E+01
9.999688081155300E-02,1.212119718798580E+01
1.004885711528220E-01,1.256218626882500E+01
1.009798950438710E-01,1.269000397174290E+01
1.014708599134740E-01,1.243189203874170E+01
1.019614734961550E-01,1.176179016907900E+01
1.024517437702570E-01,1.084698298633930E+01
1.029416789028280E-01,9.986731646372040E+00
1.034312872014160E-01,9.369417818528530E+00
1.039205770723390E-01,8.912123015473200E+00
1.044095569845520E-01,8.533710928101110E+00
1.048982354378350E-01,8.138737293874150E+00
1.053866209337540E-01,7.754852436928700E+00
1.058747219477640E-01,7.446350809864670E+00
1.063625469008060E-01,7.168484727081890E+00
1.068501041289770E-01,6.926310083546370E+00
1.073374018501700E-01,6.693346938216870E+00
1.078244481270390E-01,6.537673088053760E+00
1.083112508262200E-01,6.559630135684860E+00
1.087978175743160E-01,6.731210174429660E+00
1.092841557117790E-01,7.002609612831850E+00
1.097702722463690E-01,7.421882105489790E+00
1.102561738083320E-01,7.973628124223160E+00
1.107418666097520E-01,8.641520385928620E+00
1.112273564106870E-01,9.377579782277690E+00
1.117126484946470E-01,1.003712473249620E+01
1.121977476557460E-01,1.041931833266780E+01
1.126826581994640E-01,1.061336805693860E+01
1.131673839583520E-01,1.067678710731360E+01
1.136519283233850E-01,1.057968128705530E+01
1.141362942908760E-01,1.029892688690760E+01
1.146204845241020E-01,9.866298561029240E+00
1.151045014280450E-01,9.485700304429310E+00
1.155883472349410E-01,9.080675787038030E+00
1.160720240977870E-01,8.673480253716860E+00
1.165555341884810E-01,8.316641579465000E+00
1.170388797970230E-01,7.975618219358720E+00
1.175220634280920E-01,7.696304532475360E+00
1.180050878914200E-01,7.451474241350420E+00
1.184879563826150E-01,7.243210636801170E+00
